Answers,Questions
art and drawing.,Do you have a favorite subject
yes.,Do you enjoy cooking
I appreciate historical art.,What type of art do you appreciate
I am interested in the history of the Industrial Revolutio.,Do you have a favorite historical period
Science and Maths were challenging for me.,Which subjects do you find challenging
No.,Are you interested in technology
Drawing and painting are my work.,What do you enjoy doing on a rainy day
Scribble is my favorite.,Tell me about your favorite app
I enjoy watching cartton.,Do you have a favorite TV show
sudoku is my favourite board game.,Do you have a favorite board game
I have basic knowledge of computer programming and have created simple websites.,Tell me about any coding or programming experience
I am interested in pursuing a career in artist.,Any specific career interests
My ideal weekend involves painting and sketching.,Describe your ideal weekend
I am fascinated by the life Chhatrapati Shivaji Maharaj,Tell me about your favorite historical figure
My favorite superhero is Spider-Man,Tell me about your favorite superhero
I enjoy playing adventure and puzzle-solving game.,What type of video games do you play
I like listening to Cultural .,What type of music do you listen to
I enjoy doing craft art.,What are your favorite hobbies
I feel confident in making carttons ,What subjects do you feel most confident in
No.,Do you like participating in debates or public speaking
